@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2007-12,2007-12-01,7.82,7.82,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-01,2008-01-01,7.57,7.57,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-02,2008-02-01,7.6,7.6,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-03,2008-03-01,7.93,7.93,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-04,2008-04-01,8.01,8.01,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-05,2008-05-01,8.17,8.17,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-06,2008-06-01,8.69,8.69,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-07,2008-07-01,9.32,9.32,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-08,2008-08-01,8.78,8.78,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-09,2008-09-01,8.63,8.63,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-10,2008-10-01,7.45,7.45,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-11,2008-11-01,6.99,6.99,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2008-12,2008-12-01,5.0,5.0,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-01,2009-01-01,6.24,6.24,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-02,2009-02-01,6.02,6.02,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-03,2009-03-01,7.01,7.01,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-04,2009-04-01,6.23,6.23,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-05,2009-05-01,6.7,6.7,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-06,2009-06-01,7.01,7.01,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-07,2009-07-01,7.15,7.15,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-08,2009-08-01,7.43,7.43,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-09,2009-09-01,7.17,7.17,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-10,2009-10-01,7.31,7.31,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-11,2009-11-01,7.52,7.52,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2009-12,2009-12-01,7.59,7.59,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-01,2010-01-01,7.59,7.59,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-02,2010-02-01,7.88,7.88,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-03,2010-03-01,7.82,7.82,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
monthly,IMF,MFS,Monetary and Financial Statistics (MFS),M.IN.FIGB_PA,"Monthly – India – Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum",2010-04,2010-04-01,8.05,8.05,M,IN,FIGB_PA,Monthly,India,"Financial, Interest Rates, Government Securities, Government Bonds, Percent per annum"
