@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,INDICATOR,REF_AREA,frequency (label),indicator (label),country (label)
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1995-Q1,1995-01-01,146486.573645584,146486.573645584,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1995-Q2,1995-04-01,151119.417838942,151119.417838942,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1995-Q3,1995-07-01,153633.025757268,153633.025757268,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1995-Q4,1995-10-01,154996.254067848,154996.254067848,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1996-Q1,1996-01-01,154146.822748544,154146.822748544,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1996-Q2,1996-04-01,156248.750573122,156248.750573122,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1996-Q3,1996-07-01,157754.364826508,157754.364826508,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1996-Q4,1996-10-01,162502.702155675,162502.702155675,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1997-Q1,1997-01-01,163975.176192279,163975.176192279,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1997-Q2,1997-04-01,162180.86206421,162180.86206421,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1997-Q3,1997-07-01,164774.365558956,164774.365558956,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1997-Q4,1997-10-01,163955.835170363,163955.835170363,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
quarterly,WB,GEM,Global Economic Monitor,Q-NYGDPMKTPSACD-CAN,"Quarterly – GDP,current US$,millions,seas. adj., – Canada",1998-Q1,1998-01-01,163379.511421979,163379.511421979,Q,NYGDPMKTPSACD,CA,Quarterly,"GDP,current US$,millions,seas. adj.,",Canada
