@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1956-Q1,1956-01-01,-369.443331998398,-369.443331998398,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1956-Q2,1956-04-01,-441.844043175628,-441.844043175628,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1956-Q3,1956-07-01,-220.363191185472,-220.363191185472,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1956-Q4,1956-10-01,-361.28364389234,-361.28364389234,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1957-Q1,1957-01-01,-455.986761316533,-455.986761316533,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1957-Q2,1957-04-01,-566.841102777861,-566.841102777861,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1957-Q3,1957-07-01,-223.577923954976,-223.577923954976,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1957-Q4,1957-10-01,-267.519955017535,-267.519955017535,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1958-Q1,1958-01-01,-296.630966399326,-296.630966399326,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1958-Q2,1958-04-01,-344.569820839687,-344.569820839687,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1958-Q3,1958-07-01,-219.200114456649,-219.200114456649,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1958-Q4,1958-10-01,-310.98775317141,-310.98775317141,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1959-Q1,1959-01-01,-437.902485834344,-437.902485834344,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1959-Q2,1959-04-01,-463.740489823709,-463.740489823709,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1959-Q3,1959-07-01,-333.168747739128,-333.168747739128,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1959-Q4,1959-10-01,-313.782230590201,-313.782230590201,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1960-Q1,1960-01-01,-338.277598953088,-338.277598953088,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1960-Q2,1960-04-01,-487.464504758966,-487.464504758966,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1960-Q3,1960-07-01,-128.398931137448,-128.398931137448,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
quarterly,IMF,BOP,Balance of Payments (BOP),Q.CA.BACK_BP6_USD,"Quarterly – Canada – Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars, Millions",1960-Q4,1960-10-01,-317.597151317628,-317.597151317628,Q,CA,BACK_BP6_USD,Quarterly,Canada,"Net Lending (+) / Net Borrowing (-) (Balance from Current and Capital Account), US Dollars"
